"","title.name","title.link","exclusive","cumulative_rank","Type","rating","AVG_Nmpaa_comp","AVG_Ngenre_comp","Holiday_distance","sequel","Drama","Comedy","Family","Action","Sci.Fi","Suspense","Romance","Other","mpaa_R_Restricted","mpaa_G_General_audiences","mpaa_PG_Parental_guidance_suggested","mpaa_PG13_Parents_strongly_cautioned","mpaa_NC17_Adults_only","mpaa_Not_Rated"
"121","Friday","flixpatrol.com/title/friday-2016/",0,1,1,7.2,49,8,10,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"122","From Scratch","flixpatrol.com/title/from-scratch/",1,5,0,7.9,21.4,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"123","Gabriel Iglesias: Stadium Fluffy Live From Los Angeles","flixpatrol.com/title/gabriel-iglesias-stadium-fluffy-live-from-los-angeles/",1,1,0,7.1,21,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"124","Get Organized with The Home Edit","flixpatrol.com/title/get-organized-with-the-home-edit/",1,2,0,5.5,24.5,8,9,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"125","Ghislaine Maxwell: Filthy Rich","flixpatrol.com/title/ghislaine-maxwell-filthy-rich/",1,1,1,6,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"126","Girl in the Picture","flixpatrol.com/title/girl-in-the-picture/",1,3,1,7.2,23,2.33333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"127","Glass Onion: A Knives Out Mystery","flixpatrol.com/title/glass-onion-a-knives-out-mystery/",1,2,1,7.2,32,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"128","Glow Up: Britain's Next Make-Up Star","flixpatrol.com/title/glow-up-britains-next-make-up-star/",1,1,0,6.9,30,8,7,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"129","God's Favorite Idiot","flixpatrol.com/title/gods-favorite-idiot/",1,2,0,5.7,22.5,2.5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"130","Good Girls","flixpatrol.com/title/good-girls/",1,4,0,7.7,37,0,10,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
"131","Grace and Frankie","flixpatrol.com/title/grace-and-frankie/",1,3,0,8.2,21.6666666666667,3,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"132","Guillermo del Toro's Cabinet of Curiosities","flixpatrol.com/title/guillermo-del-toros-cabinet-of-curiosities/",1,2,0,7,23,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
"133","Guillermo del Toro's Pinocchio","flixpatrol.com/title/guillermo-del-toros-pinocchio/",1,2,1,7.6,25.5,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"134","Halftime","flixpatrol.com/title/halftime/",1,2,1,6.5,22.5,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
