title name;genre;MPAA_rating;rating
Fresh;Horror,Thriller,;R,;6.7
Free Guy;Action,Adventure,Comedy,Fantasy,Sci-Fi,;PG-13,;7.1
Safe House;Action,Thriller,;TV-14,R,;6.7
The Green Knight;Adventure,Drama,Fantasy,;R,;6.6
Spider-Man: Homecoming;Action,Adventure,Sci-Fi,;TV-14,TV-PG,PG-13,;7.4
Venom;Action,Adventure,Sci-Fi,;TV-MA,PG-13,;6.6
Matilda;Comedy,Family,Fantasy,;TV-PG,PG,;7.0
Power Book IV: Force;Crime,Drama,;TV-MA,;8.1
The Dropout;Biography,Drama,;TV-MA,;7.5
Outlander;Drama,Fantasy,Romance,;TV-MA,PG,;8.4
Family Guy;Animation,Comedy,;TV-14,TV-14,TV-G,TV-MA,TV-PG,TV-MA,;8.2
Good Trouble;Comedy,Drama,Romance,;TV-14,;7.5
The Thing About Pam;Crime,Drama,;TV-14,;7.2
9-1-1: Lone Star;Action,Drama,Thriller,;TV-14,;7.1
This Is Us;Comedy,Drama,Romance,;TV-14,TV-PG,;8.7
The Good Doctor;Drama,;TV-14,;8.1
Grey's Anatomy;Drama,Romance,;TV-14,TV-PG,;7.6
Deep Water;Drama,Mystery,Thriller,;R,;5.4
Dune;Action,Adventure,Drama,Sci-Fi,;PG-13,;8.0
F9;Action,Crime,Thriller,;PG-13,;5.2
Megalodon Rising;Action,;Not Rated,;2.1
Spider-Man: Homecoming;Action,Adventure,Sci-Fi,;TV-14,TV-PG,PG-13,;7.4
No Exit;Drama,Mystery,Thriller,;R,;6.1
Notorious;Drama,Film-Noir,Romance,Thriller,;Not Rated,Approved,;7.9
Pacific Rim;Action,Adventure,Sci-Fi,;PG-13,;6.9
King Richard;Biography,Drama,Sport,;PG-13,;7.5
The Wood;Comedy,Drama,Romance,;TV-14,R,;7.0
Power Book IV: Force;Crime,Drama,;TV-MA,;8.1
Life & Beth;Comedy,Drama,;TV-MA,;6.7
Family Guy;Animation,Comedy,;TV-14,TV-14,TV-G,TV-MA,TV-PG,TV-MA,;8.2
Outlander;Drama,Fantasy,Romance,;TV-MA,PG,;8.4
Grey's Anatomy;Drama,Romance,;TV-14,TV-PG,;7.6
Atlanta;Comedy,Drama,Music,;TV-MA,;8.6
9-1-2001;Action,Drama,Thriller,;TV-14,;7.8
The Dropout;Biography,Drama,;TV-MA,;7.5
Station 19;Action,Drama,Romance,Thriller,;TV-14,;6.9
Abbott Elementary;Comedy,;TV-PG,;8.2
Deep Water;Drama,Mystery,Thriller,;R,;5.4
King Richard;Biography,Drama,Sport,;PG-13,;7.5
Death on the Nile;Crime,Drama,Mystery,;PG-13,;6.3
Dune;Action,Adventure,Drama,Sci-Fi,;PG-13,;8.0
Spider-Man: Homecoming;Action,Adventure,Sci-Fi,;TV-14,TV-PG,PG-13,;7.4
F9;Action,Crime,Thriller,;PG-13,;5.2
Halloween Kills;Horror,Thriller,;Not Rated,R,;5.5
Matilda;Comedy,Family,Fantasy,;TV-PG,PG,;7.0
No Exit;Drama,Mystery,Thriller,;R,;6.1
Fresh;Horror,Thriller,;R,;6.7
Power Book IV: Force;Crime,Drama,;TV-MA,;8.1
The Girl From Plainville;Biography,Crime,Drama,;TV-MA,;6.3
Atlanta;Comedy,Drama,Music,;TV-MA,;8.6
Outlander;Drama,Fantasy,Romance,;TV-MA,PG,;8.4
Abbott Elementary;Comedy,;TV-PG,;8.2
Grey's Anatomy;Drama,Romance,;TV-14,TV-PG,;7.6
American Idol;Game-Show,Music,Reality-TV,;TV-PG,;4.2
Station 19;Action,Drama,Romance,Thriller,;TV-14,;6.9
The Dropout;Biography,Drama,;TV-MA,;7.5
20/20;Documentary,News,;Unrated,;6.7
Death on the Nile;Crime,Drama,Mystery,;PG-13,;6.3
Deep Water;Drama,Mystery,Thriller,;R,;5.4
Deadlock;Action,Thriller,;R,;3.5
King Richard;Biography,Drama,Sport,;PG-13,;7.5
Halloween Kills;Horror,Thriller,;Not Rated,R,;5.5
Matilda;Comedy,Family,Fantasy,;TV-PG,PG,;7.0
Twilight;Drama,Fantasy,Romance,;PG-13,;5.3
Scooby-Doo 2: Monsters Unleashed;Adventure,Comedy,Family,Fantasy,Horror,Mystery,Sci-Fi,;TV-G,TV-PG,PG,;5.2
Dune;Action,Adventure,Drama,Sci-Fi,;PG-13,;8.0
Power Book IV: Force;Crime,Drama,;TV-MA,;8.1
The Girl From Plainville;Biography,Crime,Drama,;TV-MA,;6.3
Outlander;Drama,Fantasy,Romance,;TV-MA,PG,;8.4
Law & Order: Special Victims Unit;Crime,Drama,Mystery,Thriller,;TV-14,TV-PG,;8.1
Grey's Anatomy;Drama,Romance,;TV-14,TV-PG,;7.6
Billions;Drama,;TV-MA,;8.4
American Idol;Game-Show,Music,Reality-TV,;TV-PG,;4.2
ABC World News;News,;;5.8
The Rookie;Action,Crime,Drama,;TV-14,;8.0
Snowfall;Crime,Drama,;TV-MA,;8.2
Hide and Seek;Horror,Mystery,;R,;5.9
The Wolf of Wall Street;Biography,Comedy,Crime,Drama,;TV-MA,TV-14,R,;8.2
Death on the Nile;Crime,Drama,Mystery,;PG-13,;6.3
The Incredible Hulk;Action,Adventure,Sci-Fi,;TV-14,PG-13,;6.6
John and the Hole;Drama,Horror,Thriller,;R,;5.2
Deep Water;Drama,Mystery,Thriller,;R,;5.4
We're the Millers;Comedy,Crime,;TV-14,R,R,;7.0
Monster Family 2;Animation,Comedy,Family,Fantasy,Horror,Sci-Fi,;PG,;4.8
The Batman;Action,Crime,Drama,Thriller,;PG-13,;7.8
Spider-Man: Homecoming;Action,Adventure,Sci-Fi,;TV-14,TV-PG,PG-13,;7.4
Power Book IV: Force;Crime,Drama,;TV-MA,;8.1
The Girl From Plainville;Biography,Crime,Drama,;TV-MA,;6.3
The Kardashians;Drama,Reality-TV,;TV-14,;4.7
9-1-2001;Action,Drama,Thriller,;TV-14,;7.8
