title link;rank;title name;exclusive;cumulative_rank;Type;platform;week_num
flixpatrol.com/title/the-bachelor/;9;The Bachelor;;;TV Shows;Hulu;5
flixpatrol.com/title/the-rookie-2018/;10;The Rookie;;;TV Shows;Hulu;5
flixpatrol.com/title/nobody/;1;Nobody;;;Movies;Hulu;6
flixpatrol.com/title/matilda/;2;Matilda;;;Movies;Hulu;6
flixpatrol.com/title/dirty-grandpa/;3;Dirty Grandpa;;;Movies;Hulu;6
flixpatrol.com/title/master-and-commander-the-far-side-of-the-world/;4;Master and Commander: The Far Side of the World;;;Movies;Hulu;6
flixpatrol.com/title/spider-man-homecoming/;5;Spider-Man: Homecoming;;;Movies;Hulu;6
flixpatrol.com/title/nightmare-alley/;6;Nightmare Alley;;;Movies;Hulu;6
flixpatrol.com/title/hitmans-wifes-bodyguard/;7;Hitman's Wife's Bodyguard;;;Movies;Hulu;6
flixpatrol.com/title/space-jam-a-new-legacy/;8;Space Jam: A New Legacy;;;Movies;Hulu;6
flixpatrol.com/title/venom-2018/;9;Venom;;;Movies;Hulu;6
flixpatrol.com/title/dragon-ball-super-broly/;10;Dragon Ball Super: Broly;;;Movies;Hulu;6
flixpatrol.com/title/power-book-ii-ghost/;1;Power Book II: Ghost;;;TV Shows;Hulu;6
flixpatrol.com/title/euphoria/;2;Euphoria;;;TV Shows;Hulu;6
flixpatrol.com/title/pam-tommy/;3;Pam & Tommy;;;TV Shows;Hulu;6
flixpatrol.com/title/billions/;4;Billions;;;TV Shows;Hulu;6
flixpatrol.com/title/2020-1978/;5;20/20;;;TV Shows;Hulu;6
flixpatrol.com/title/power-book-iv-force/;6;Power Book IV: Force;;;TV Shows;Hulu;6
flixpatrol.com/title/how-i-met-your-father/;7;How I Met Your Father;;;TV Shows;Hulu;6
flixpatrol.com/title/the-gilded-age/;8;The Gilded Age;;;TV Shows;Hulu;6
flixpatrol.com/title/family-guy/;9;Family Guy;;;TV Shows;Hulu;6
flixpatrol.com/title/abbott-elementary/;10;Abbott Elementary;;;TV Shows;Hulu;6
flixpatrol.com/title/spider-man-homecoming/;1;Spider-Man: Homecoming;;;Movies;Hulu;7
flixpatrol.com/title/venom-2018/;2;Venom;;;Movies;Hulu;7
flixpatrol.com/title/nightmare-alley/;3;Nightmare Alley;;;Movies;Hulu;7
flixpatrol.com/title/spencer/;4;Spencer;;;Movies;Hulu;7
flixpatrol.com/title/the-proposal/;5;The Proposal;;;Movies;Hulu;7
flixpatrol.com/title/master-and-commander-the-far-side-of-the-world/;6;Master and Commander: The Far Side of the World;;;Movies;Hulu;7
flixpatrol.com/title/all-about-the-benjamins/;7;All About the Benjamins;;;Movies;Hulu;7
flixpatrol.com/title/dragon-ball-super-broly/;8;Dragon Ball Super: Broly;;;Movies;Hulu;7
flixpatrol.com/title/jumanji-welcome-to-the-jungle/;9;Jumanji: Welcome to the Jungle;;;Movies;Hulu;7
flixpatrol.com/title/the-hangover-part-iii/;10;The Hangover Part III;;;Movies;Hulu;7
flixpatrol.com/title/euphoria/;1;Euphoria;;;TV Shows;Hulu;7
flixpatrol.com/title/power-book-iv-force/;2;Power Book IV: Force;;;TV Shows;Hulu;7
flixpatrol.com/title/power-book-ii-ghost/;3;Power Book II: Ghost;;;TV Shows;Hulu;7
flixpatrol.com/title/pam-tommy/;4;Pam & Tommy;;;TV Shows;Hulu;7
flixpatrol.com/title/billions/;5;Billions;;;TV Shows;Hulu;7
flixpatrol.com/title/general-hospital/;6;General Hospital;;;TV Shows;Hulu;7
flixpatrol.com/title/single-drunk-female/;7;Single Drunk Female;;;TV Shows;Hulu;7
flixpatrol.com/title/rick-and-morty/;8;Rick and Morty;;;TV Shows;Hulu;7
flixpatrol.com/title/the-righteous-gemstones/;9;The Righteous Gemstones;;;TV Shows;Hulu;7
flixpatrol.com/title/attack-on-titan/;10;Attack on Titan;;;TV Shows;Hulu;7
flixpatrol.com/title/spider-man-homecoming/;1;Spider-Man: Homecoming;;;Movies;Hulu;8
flixpatrol.com/title/spencer/;2;Spencer;;;Movies;Hulu;8
flixpatrol.com/title/escape-room-tournament-of-champions/;3;Escape Room: Tournament of Champions;;;Movies;Hulu;8
flixpatrol.com/title/the-kings-man/;4;The King's Man;;;Movies;Hulu;8
flixpatrol.com/title/dont-breathe-2/;5;Don't Breathe 2;;;Movies;Hulu;8
flixpatrol.com/title/venom-2018/;6;Venom;;;Movies;Hulu;8
flixpatrol.com/title/all-about-the-benjamins/;7;All About the Benjamins;;;Movies;Hulu;8
flixpatrol.com/title/the-proposal/;8;The Proposal;;;Movies;Hulu;8
flixpatrol.com/title/jumanji-welcome-to-the-jungle/;9;Jumanji: Welcome to the Jungle;;;Movies;Hulu;8
flixpatrol.com/title/a-man-apart/;10;A Man Apart;;;Movies;Hulu;8
flixpatrol.com/title/euphoria/;1;Euphoria;;;TV Shows;Hulu;8
flixpatrol.com/title/power-book-iv-force/;2;Power Book IV: Force;;;TV Shows;Hulu;8
